CAM 		10.176.34.84
CATS 		10.176.34.115
CLUX 		10.176.34.114
DFSNZ1  	10.176.34.170
DRSAP2PF 	10.176.34.179
FRANCE 		10.176.32.133
GDC 		10.176.34.111
GVA 		10.176.34.83
HKGA 		10.176.34.88
HNL 		10.176.34.153
INDO 		10.176.34.82
ITL 		10.176.34.87
KOREA 		10.176.34.93
KSENV5U 	10.176.34.138
KSENV6 		10.176.34.121
KSENV6U 	10.176.34.139
LAX1 		10.176.34.154
MIDEAST 	10.176.34.85
MIDPAC 		10.176.34.89
PAD1 		10.176.34.98
PAX1 		10.176.34.97
PRC 		10.176.34.140
SFO 		10.176.34.151
SFO2        10.176.34.152
SIN2 		10.176.34.80
SYD 		10.176.34.86
